team_name,language,run name,Rouge-1,Rouge-2,Rouge-4,Rouge-L,BertScore-Precision,BertScore-Recall,BertScore-F1
INITIATORS ,kannada,run2.csv,0.2065592568107366,0.12750773722252753,0.08703450483547741,0.19967274723395875,0.7354995012283325,0.7234233617782593,0.7289236187934875
INITIATORS ,kannada,run2.csv,0.2065592568107366,0.12750773722252753,0.08703450483547741,0.19967274723395875,0.7354995012283325,0.7234233617782593,0.7289236187934875
Iem inturns ,english,run1.csv,0.3044149849587675,0.14476012096106042,0.08433709405950338,0.2645572326028653,0.8482031226158142,0.8708230257034302,0.8591095805168152
Iem inturns ,english,run1.csv,0.3044149849587675,0.14476012096106042,0.08433709405950338,0.2645572326028653,0.8482031226158142,0.8708230257034302,0.8591095805168152
Trojan Horses,gujarati,run1.csv,0.05163360020524505,0.010122681300737011,0.001041057809729403,0.04836950407255796,0.5795854330062866,0.6115611791610718,0.5941901803016663
Sangita_NIT_Patna,gujarati,Gujarati.csv,0.2525754159355763,0.11875011998979948,0.0702744250670315,0.2414948413595051,0.7241748571395874,0.7319784760475159,0.7274031639099121
Sangita_NIT_Patna,telugu,Telugu.csv,0.19259714137575823,0.11386418360648871,0.07694709793722317,0.18755334062286566,0.7006102800369263,0.7236466407775879,0.711179792881012
Sangita_NIT_Patna,tamil,Tamil.csv,0.13916873891256923,0.0749690679985287,0.048727108077443765,0.13339604121219115,0.6866788268089294,0.7051311731338501,0.6948294043540955
Sangita_NIT_Patna,tamil,Tamil.csv,0.13916873891256923,0.0749690679985287,0.048727108077443765,0.13339604121219115,0.6866788268089294,0.7051311731338501,0.6948294043540955
Sangita_NIT_Patna,bengali,Bengali.csv,0.2095921024102182,0.14092100867679228,0.1056600869449795,0.1846726698337215,0.6996468901634216,0.7233453392982483,0.7098824977874756
Sangita_NIT_Patna,hindi,hindi.csv,0.3014926690980867,0.1375357840654651,0.0827071207075241,0.2728862703125258,0.7129104137420654,0.730765163898468,0.7206535935401917
Data Lovers,tamil,run1.csv,0.23755599457811222,0.15074826718346415,0.10176366513676863,0.22840771693118966,0.7226184010505676,0.7496035099029541,0.7354172468185425
Data Lovers,gujarati,run1.csv,0.27917824100901883,0.1496161970471032,0.09417129910717795,0.26692430353454033,0.7505978941917419,0.7300719618797302,0.739790141582489
Data Lovers,bengali,run1.csv,0.24710981894541276,0.16582577185489367,0.11866992022327155,0.22969094117408123,0.7372066378593445,0.731570839881897,0.7338261604309082
Data Lovers,hindi,run1.csv,0.3658620699408636,0.19746461767433357,0.12327879104519815,0.3387539318826486,0.7196356654167175,0.7620905041694641,0.7396031618118286
Data Lovers,english,run1.csv,0.36435247228664674,0.20599747324783493,0.14668013139022004,0.3133322912323136,0.8705623149871826,0.8861775398254395,0.8781086802482605
Data Lovers,english,run2.csv,0.32382551005252136,0.1626905126816944,0.09918646684636882,0.28059702120744434,0.853758692741394,0.8847119212150574,0.8687289953231812
Data Lovers,telugu,run1.csv,0.30215480352364166,0.21485141082818301,0.16061806768941855,0.29625986472804045,0.7543911337852478,0.7526984214782715,0.7531574964523315
INITIATORS ,tamil,run1.csv,0.2180306402797947,0.13361717803827597,0.09049541224984171,0.20913464316020552,0.7138358354568481,0.7417911887168884,0.726731538772583
INITIATORS ,tamil,run3.csv,0.20800915687124008,0.11773071172817386,0.07288584867117157,0.19630719707117067,0.7080738544464111,0.7366216778755188,0.721244215965271
INITIATORS ,tamil,run2.csv,0.21643656445338344,0.13169301288370144,0.08719461124630076,0.20781792709032876,0.730051577091217,0.7292184233665466,0.72903972864151
INITIATORS ,english,run1.csv,0.3435300655347899,0.18790806306557548,0.1357469604134132,0.29643902977396114,0.8672797679901123,0.8802430629730225,0.8735119104385376
INITIATORS ,english,run3.csv,0.3388467823717774,0.17024908471099695,0.10364327885364198,0.28343447349834294,0.870054304599762,0.8788715600967407,0.8742022514343262
INITIATORS ,english,run2.csv,0.32170585942158775,0.15892535153377918,0.10110835428543592,0.2705118287465453,0.8658678531646729,0.87514328956604,0.8702346682548523
INITIATORS ,kannada,run1.csv,0.22835925537491727,0.14459374081266022,0.10322673236900018,0.2218311388060738,0.7273702025413513,0.7437562942504883,0.7349287867546082
INITIATORS ,kannada,run3.csv,0.22433345782322303,0.13530141122910747,0.09267365577164713,0.2166993033102156,0.7262809872627258,0.7383959293365479,0.7316978573799133
INITIATORS ,telugu,run1.csv,0.31464846900881605,0.2317618873908867,0.18022499305052353,0.3079123181395068,0.7487627863883972,0.7637490034103394,0.7555034160614014
INITIATORS ,telugu,run1.csv,0.31464846900881605,0.2317618873908867,0.18022499305052353,0.3079123181395068,0.7487627863883972,0.7637490034103394,0.7555034160614014
INITIATORS ,telugu,run1.csv,0.31464846900881605,0.2317618873908867,0.18022499305052353,0.3079123181395068,0.7487627863883972,0.7637490034103394,0.7555034160614014
Iem inturns ,english,run1.csv,0.3044149849587675,0.14476012096106042,0.08433709405950338,0.2645572326028653,0.8482031226158142,0.8708230257034302,0.8591095805168152
IdliVadaSambar,english,run1.csv,0.3101917651518872,0.15543323972789128,0.0855609555519881,0.26437330771567197,0.8284124135971069,0.8707718849182129,0.8488730192184448
IdliVadaSambar,english,run2.csv,0.2825253917568504,0.09444031558729783,0.020023599949504006,0.23295448029460428,0.8528755903244019,0.8829258680343628,0.867455244064331
Squad,tamil,run1.csv,0.012143697293430443,0.0006963376712758076,9.207161125319692e-05,0.012010702484818286,0.6191545128822327,0.5746539831161499,0.5950720906257629
